tier,severity,sheet_rows,row_ids,builder,owner,match_key,reason,recommendation
2,MED,910 + 943,264 + 1092,Hudong-Zhonghua Shipbuilding,"MISC, NYK Line, K Line, China LNG",hudong-zhonghua|nyk|170000,"placeholder/identified pair matches builder/owner/capacity~ with no distinguishing hull or IMO; delivery 2025 vs 2026 (names: 'Mihzem' / 'Hudong-Zhonghua (CNOOC, CMES, NYK 3)').",verify by source: is the placeholder the same slot as the named row?
2,MED,910 + 1217,264 + 1224,Hudong-Zhonghua Shipbuilding,"MISC, NYK Line, K Line, China LNG",hudong-zhonghua|nyk|170000,"placeholder/identified pair matches builder/owner/capacity~ with no distinguishing hull or IMO (names: 'Mihzem' / 'Hudong-Zhonghua (CNOOC, CMES, NYK 4)').",verify by source: is the placeholder the same slot as the named row?
2,MED,910 + 1218,264 + 1225,Hudong-Zhonghua Shipbuilding,"MISC, NYK Line, K Line, China LNG",hudong-zhonghua|nyk|170000,"placeholder/identified pair matches builder/owner/capacity~ with no distinguishing hull or IMO (names: 'Mihzem' / 'Hudong-Zhonghua (CNOOC, CMES, NYK 5)').",verify by source: is the placeholder the same slot as the named row?
2,MED,910 + 1219,264 + 1226,Hudong-Zhonghua Shipbuilding,"MISC, NYK Line, K Line, China LNG",hudong-zhonghua|nyk|170000,"placeholder/identified pair matches builder/owner/capacity~ with no distinguishing hull or IMO (names: 'Mihzem' / 'Hudong-Zhonghua (CNOOC, CMES, NYK 6)').",verify by source: is the placeholder the same slot as the named row?
2,MED,911 + 943,265 + 1092,Hudong-Zhonghua Shipbuilding,"MISC, NYK Line, K Line, China LNG",hudong-zhonghua|nyk|170000,"placeholder/identified pair matches builder/owner/capacity~ with no distinguishing hull or IMO; delivery 2025 vs 2026 (names: 'Idd Al Shargi' / 'Hudong-Zhonghua (CNOOC, CMES, NYK 3)').",verify by source: is the placeholder the same slot as the named row?
2,MED,911 + 1217,265 + 1224,Hudong-Zhonghua Shipbuilding,"MISC, NYK Line, K Line, China LNG",hudong-zhonghua|nyk|170000,"placeholder/identified pair matches builder/owner/capacity~ with no distinguishing hull or IMO (names: 'Idd Al Shargi' / 'Hudong-Zhonghua (CNOOC, CMES, NYK 4)').",verify by source: is the placeholder the same slot as the named row?
2,MED,911 + 1218,265 + 1225,Hudong-Zhonghua Shipbuilding,"MISC, NYK Line, K Line, China LNG",hudong-zhonghua|nyk|170000,"placeholder/identified pair matches builder/owner/capacity~ with no distinguishing hull or IMO (names: 'Idd Al Shargi' / 'Hudong-Zhonghua (CNOOC, CMES, NYK 5)').",verify by source: is the placeholder the same slot as the named row?
2,MED,911 + 1219,265 + 1226,Hudong-Zhonghua Shipbuilding,"MISC, NYK Line, K Line, China LNG",hudong-zhonghua|nyk|170000,"placeholder/identified pair matches builder/owner/capacity~ with no distinguishing hull or IMO (names: 'Idd Al Shargi' / 'Hudong-Zhonghua (CNOOC, CMES, NYK 6)').",verify by source: is the placeholder the same slot as the named row?
2,MED,917 + 943,273 + 1092,Hudong-Zhonghua Shipbuilding,"CNOOC, CMES, NYK JV",hudong-zhonghua|nyk|170000,"placeholder/identified pair matches builder/owner/capacity~ with no distinguishing hull or IMO; delivery 2027 vs 2026 (names: 'Hull H1889A' / 'Hudong-Zhonghua (CNOOC, CMES, NYK 3)').",verify by source: is the placeholder the same slot as the named row?
2,MED,917 + 1217,273 + 1224,Hudong-Zhonghua Shipbuilding,"CNOOC, CMES, NYK JV",hudong-zhonghua|nyk|170000,"placeholder/identified pair matches builder/owner/capacity~ with no distinguishing hull or IMO (names: 'Hull H1889A' / 'Hudong-Zhonghua (CNOOC, CMES, NYK 4)').",verify by source: is the placeholder the same slot as the named row?
