op,key,column,value
set,1044,Shipowner country/area [ref],"https://en.wikipedia.org/wiki/SK_Shipping, https://splash247.com/sk-shipping-takes-aim-at-asia-lng-top-spot-in-h-line-tanker-swap/"
set,1045,Shipowner country/area,South Korea
set,1045,Shipowner country/area [ref],"https://en.wikipedia.org/wiki/SK_Shipping, https://splash247.com/sk-shipping-takes-aim-at-asia-lng-top-spot-in-h-line-tanker-swap/"
set,1029,Shipowner country/area,Malaysia
set,1029,Shipowner country/area [ref],"https://www.misc.com.my/contact-us/, https://www.miscgroup.com/awcontent/Web/Documents/IntegratedAnnualReport/Integrated-Annual-Report-2025.pdf, https://en.wikipedia.org/wiki/MISC_Berhad"
set,1030,Shipowner country/area,Malaysia
set,1030,Shipowner country/area [ref],"https://www.misc.com.my/contact-us/, https://www.miscgroup.com/awcontent/Web/Documents/IntegratedAnnualReport/Integrated-Annual-Report-2025.pdf, https://en.wikipedia.org/wiki/MISC_Berhad"
set,63,Shipowner country/area,Malaysia
set,63,Shipowner country/area [ref],"https://www.misc.com.my/contact-us/, https://www.miscgroup.com/awcontent/Web/Documents/IntegratedAnnualReport/Integrated-Annual-Report-2025.pdf, https://en.wikipedia.org/wiki/MISC_Berhad"
set,64,Shipowner country/area,Malaysia
set,64,Shipowner country/area [ref],"https://www.misc.com.my/contact-us/, https://www.miscgroup.com/awcontent/Web/Documents/IntegratedAnnualReport/Integrated-Annual-Report-2025.pdf, https://en.wikipedia.org/wiki/MISC_Berhad"
set,137,Shipowner country/area,Malaysia
set,137,Shipowner country/area [ref],"https://www.misc.com.my/contact-us/, https://www.miscgroup.com/awcontent/Web/Documents/IntegratedAnnualReport/Integrated-Annual-Report-2025.pdf, https://en.wikipedia.org/wiki/MISC_Berhad"
set,144,Shipowner country/area,Malaysia
set,144,Shipowner country/area [ref],"https://www.misc.com.my/contact-us/, https://www.miscgroup.com/awcontent/Web/Documents/IntegratedAnnualReport/Integrated-Annual-Report-2025.pdf, https://en.wikipedia.org/wiki/MISC_Berhad"
set,72,Shipowner country/area,Japan
set,72,Shipowner country/area [ref],"https://en.wikipedia.org/wiki/Mitsui_O.S.K._Lines, https://magicport.ai/owners-managers/japan/mitsui-osk-lines-ltd, https://stockanalysis.com/quote/tyo/9104/company/"
set,74,Shipowner country/area,Greece
set,74,Shipowner country/area [ref],"https://magicport.ai/owners-managers/greece/maran-gas-maritime-inc, https://lngprime.com/europe/greeces-maran-gas-welcomes-lng-carrier-john-a-angelicoussis-to-its-fleet/47566/"
set,78,Shipowner country/area,Japan
set,78,Shipowner country/area [ref],"https://en.wikipedia.org/wiki/Mitsui_O.S.K._Lines, https://magicport.ai/owners-managers/japan/mitsui-osk-lines-ltd, https://stockanalysis.com/quote/tyo/9104/company/"
set,147,Shipowner country/area,Malaysia
set,147,Shipowner country/area [ref],"https://www.misc.com.my/contact-us/, https://www.miscgroup.com/awcontent/Web/Documents/IntegratedAnnualReport/Integrated-Annual-Report-2025.pdf, https://en.wikipedia.org/wiki/MISC_Berhad"
set,156,Shipowner country/area,Malaysia
set,156,Shipowner country/area [ref],"https://www.misc.com.my/contact-us/, https://www.miscgroup.com/awcontent/Web/Documents/IntegratedAnnualReport/Integrated-Annual-Report-2025.pdf, https://en.wikipedia.org/wiki/MISC_Berhad"
set,157,Shipowner country/area,Malaysia
set,157,Shipowner country/area [ref],"https://www.misc.com.my/contact-us/, https://www.miscgroup.com/awcontent/Web/Documents/IntegratedAnnualReport/Integrated-Annual-Report-2025.pdf, https://en.wikipedia.org/wiki/MISC_Berhad"
set,163,Shipowner country/area,Denmark
set,163,Shipowner country/area [ref],"https://magicport.ai/owners-managers/denmark/celsius-shipping-aps, https://lngprime.com/vessels/denmarks-celsius-orders-four-lng-carriers-in-china/69940/, https://lngprime.com/asia/celsius-takes-delivery-of-new-lng-tanker/127252/"
set,408,Shipowner country/area,Greece
set,408,Shipowner country/area [ref],"https://magicport.ai/owners-managers/greece/capital-gas-ship-management, https://stockanalysis.com/stocks/ccec/company/, https://www.rivieramm.com/news-content-hub/capital-gas-enhances-fleet-reliability-amid-greek-lng-expansion-82819"
set,92,Shipowner country/area,United Arab Emirates
set,92,Shipowner country/area [ref],"https://magicport.ai/owners-managers/united-arab-emirates/adnoc-logistics-services, https://stockanalysis.com/quote/adx/ADNOCLS/company/, https://shipandbunker.com/news/world/249785-adnoc-ls-takes-delivery-of-lng-carrier-from-china"
set,94,Shipowner country/area,United Arab Emirates
set,94,Shipowner country/area [ref],"https://magicport.ai/owners-managers/united-arab-emirates/adnoc-logistics-services, https://stockanalysis.com/quote/adx/ADNOCLS/company/, https://shipandbunker.com/news/world/249785-adnoc-ls-takes-delivery-of-lng-carrier-from-china"
set,96,Shipowner country/area,United Arab Emirates
