original order in sheet,IMO number,IMO number [ref],Name,Name [ref],Notes,Other names,Other names [ref],Hull number,Hull number [ref],Status,Researcher,Last updated,Status [ref],Shipowner,Shipowner [ref],Shipowner country/area,Shipowner country/area [ref],Shipbuilder,Shipbuilder [ref],Shipbuilder yard country/area,Shipbuilder yard country/area [ref],Yard location latitude,Yard location longitude,Yard location plus code,Yard location accuracy,Yard location lat/lon [ref],Capacity,Capacity units,Capacity [ref],Cargo type,Cargo type [ref],Vessel type,Vessel type [ref],Propulsion type,Propulsion type [ref],Delivery year,Delivery year [ref],[Original source],Operator/charterer,Operator/charterer [ref],Contract date,Contract date [ref],Price,Price currency,Price [ref],,
3,9904675,https://www.igu.org/igu-reports/2025-world-lng-report,Pyotr Stolypin,"https://www.igu.org/igu-reports/2025-world-lng-report, https://www.vesselfinder.com/vessels/details/9904675, https://en.highnorthnews.com/business/russias-zvezda-shipyard-launches-two-additional-arc7-lng-carriers-for-novateks-arctic-lng-2/224160, https://lngprime.com/asia/zvezda-launches-arctic-lng-2-carrier/88281/, https://www.trusteddocks.com/vessel/9904675-pyotr-stolypin","this was part of Arctic LNG 2, which has been sanctioned; IGU originally says 2025 delivery but BL is moving to 2026 for now",,,Hull 042 (Zvezda),http://www.chinashipbuilding.cn/ship.aspx?pklujyukkpp4scBcBanmkhTk8Pl4EN,on order,GEM,12/11/2025,https://www.vesselfinder.com/vessels/details/9904675,Smart LNG,https://www.igu.org/igu-reports/2025-world-lng-report,Russia,https://2021-2025.state.gov/imposing-measures-in-response-to-navalnys-death-and-two-years-of-russias-full-scale-war-against-ukraine/,Zvezda Shipbuilding,https://www.igu.org/igu-reports/2025-world-lng-report,Russia,https://www.sskzvezda.ru/,43.12037,132.3456,"48CW+88 Bolshoy Kamen, Primorsky Krai, Russia",exact,"https://www.google.com/maps/place/%D0%A1%D0%A1%D0%9A+%C2%AB%D0%97%D0%B2%D0%B5%D0%B7%D0%B4%D0%B0%C2%BB/@43.121004,132.34029,643m/data=!3m1!1e3!4m15!1m7!2m6!1sZvezda+Shipbuilding!3m4!2s39.890604,+-75.188622!4m2!1d-75.1886219!2d39.8906036!3m6!1s0x5fb3c2dbb55ec52d:0x1380efacbe890818!8m2!3d43.1207847!4d132.3458251!15sChNadmV6ZGEgU2hpcGJ1aWxkaW5nkgEIc2hpcHlhcmTgAQA!16s%2Fg%2F11f03_n1zt?entry=ttu&g_ep=EgoyMDI1MTIwMi4wIKXMDSoASAFQAw%3D%3D",172600,cbm,https://www.igu.org/igu-reports/2025-world-lng-report,membrane,"https://www.gtt.fr/news/gtt-receives-order-zvezda-tank-design-five-arc7-ice-breaking-lng-carriers, https://www.gtt.fr/news/gtt-entrusted-zvezda-tank-design-ten-arc7-ice-breaking-lng-carriers, https://www.rivieramm.com/news-content-hub/news-content-hub/gtt-tanks-chosen-for-first-15-russian-built-arctic-lng-carriers-61483",icebreaker,"https://www.novatek.ru/en/press/releases/index.php?id_4=4224, https://www.lngindustry.com/lng-shipping/11022020/smart-lng-signs-agreement-for-financing-of-icebreaking-lng-carriers/",DFDE,https://www.igu.org/igu-reports/2025-world-lng-report,2026,"https://www.igu.org/igu-reports/2025-world-lng-report, https://www.vesselfinder.com/vessels/details/9904675, https://maritime-executive.com/article/russia-delivers-first-domestically-built-arc7-lng-carrier",IGU,Arctic LNG 2 LLC,"https://www.novatek.ru/en/press/releases/index.php?id_4=4224, https://www.lngindustry.com/lng-shipping/11022020/smart-lng-signs-agreement-for-financing-of-icebreaking-lng-carriers/, https://www.offshore-energy.biz/smart-lng-pens-lease-financing-deal-for-4-lng-carriers/",,,,,,,
4,9904687,https://www.igu.org/igu-reports/2025-world-lng-report,Sergei Witte,"https://www.igu.org/igu-reports/2025-world-lng-report, https://www.vesselfinder.com/vessels/details/9904687, https://en.highnorthnews.com/business/russias-zvezda-shipyard-launches-two-additional-arc7-lng-carriers-for-novateks-arctic-lng-2/224160, https://lngprime.com/asia/zvezda-launches-arctic-lng-2-carrier/88281/, https://www.offshore-energy.biz/zvezda-launches-new-lng-carrier-for-novateks-arctic-lng-2-project/","this was part of Arctic LNG 2, which has been sanctioned; IGU originally says 2025 delivery but BL is moving to 2026 for now",,,Hull 043 (Zvezda),http://chinashipbuilding.cn/ship.aspx?pklujyukkpp4scBcCanmkhTk8Pl4EN,on order,GEM,12/31/2024,https://www.igu.org/igu-reports/2025-world-lng-report,Smart LNG,https://www.igu.org/igu-reports/2025-world-lng-report,Russia,https://2021-2025.state.gov/imposing-measures-in-response-to-navalnys-death-and-two-years-of-russias-full-scale-war-against-ukraine/,Zvezda Shipbuilding,https://www.igu.org/igu-reports/2025-world-lng-report,Russia,https://www.sskzvezda.ru/,43.12037,132.3456,"48CW+88 Bolshoy Kamen, Primorsky Krai, Russia",exact,"https://www.google.com/maps/place/%D0%A1%D0%A1%D0%9A+%C2%AB%D0%97%D0%B2%D0%B5%D0%B7%D0%B4%D0%B0%C2%BB/@43.121004,132.34029,643m/data=!3m1!1e3!4m15!1m7!2m6!1sZvezda+Shipbuilding!3m4!2s39.890604,+-75.188622!4m2!1d-75.1886219!2d39.8906036!3m6!1s0x5fb3c2dbb55ec52d:0x1380efacbe890818!8m2!3d43.1207847!4d132.3458251!15sChNadmV6ZGEgU2hpcGJ1aWxkaW5nkgEIc2hpcHlhcmTgAQA!16s%2Fg%2F11f03_n1zt?entry=ttu&g_ep=EgoyMDI1MTIwMi4wIKXMDSoASAFQAw%3D%3D",172600,cbm,https://www.igu.org/igu-reports/2025-world-lng-report,membrane,"https://www.gtt.fr/news/gtt-receives-order-zvezda-tank-design-five-arc7-ice-breaking-lng-carriers, https://www.gtt.fr/news/gtt-entrusted-zvezda-tank-design-ten-arc7-ice-breaking-lng-carriers, https://www.rivieramm.com/news-content-hub/news-content-hub/gtt-tanks-chosen-for-first-15-russian-built-arctic-lng-carriers-61483",icebreaker,"https://www.novatek.ru/en/press/releases/index.php?id_4=4224, https://www.lngindustry.com/lng-shipping/11022020/smart-lng-signs-agreement-for-financing-of-icebreaking-lng-carriers/",DFDE,https://www.igu.org/igu-reports/2025-world-lng-report,2026,"https://www.igu.org/igu-reports/2025-world-lng-report, https://www.vesselfinder.com/vessels/details/9904687, https://maritime-executive.com/article/russia-delivers-first-domestically-built-arc7-lng-carrier",IGU,Arctic LNG 2 LLC,"https://www.novatek.ru/en/press/releases/index.php?id_4=4224, https://www.lngindustry.com/lng-shipping/11022020/smart-lng-signs-agreement-for-financing-of-icebreaking-lng-carriers/, https://www.offshore-energy.biz/smart-lng-pens-lease-financing-deal-for-4-lng-carriers/",,,,,,,
17,9953248,https://www.igu.org/igu-reports/2025-world-lng-report,Rex Tillerson,"https://www.igu.org/igu-reports/2025-world-lng-report, https://www.mol.co.jp/en/info/article/2024/0911.html, https://www.rivieramm.com/news-content-hub/news-content-hub/qatarenergy-inaugurates-rex-tillerson-and-chooses-esd-partner-for-samsung-newbuildings-82269, https://www.vesselfinder.com/vessels/details/9953248, https://shipsmonthly.com/news/new-lng-carrier-delivered-for-qatarenergy/",,,,Hull 1790A,https://www.igu.org/igu-reports/2025-world-lng-report,active,GEM,12/31/2024,https://www.igu.org/igu-reports/2025-world-lng-report,MOL,"https://www.igu.org/igu-reports/2025-world-lng-report, https://www.mol.co.jp/en/info/article/2024/0911.html, https://www.rivieramm.com/news-content-hub/news-content-hub/qatarenergy-inaugurates-rex-tillerson-and-chooses-esd-partner-for-samsung-newbuildings-82269, https://shipsmonthly.com/news/new-lng-carrier-delivered-for-qatarenergy/",Japan,https://www.mol.co.jp/en/,Hudong-Zhonghua Shipbuilding,"https://www.igu.org/igu-reports/2025-world-lng-report, https://www.mol.co.jp/en/info/article/2024/0911.html, https://www.bairdmaritime.com/shipping/tankers/gas/vessel-review-rex-tillerson-umm-ghuwailina-qatarenergy-expands-lng-carrier-fleet-with-174000cbm-newbuilds, https://www.rivieramm.com/news-content-hub/news-content-hub/qatarenergy-inaugurates-rex-tillerson-and-chooses-esd-partner-for-samsung-newbuildings-82269, https://shipsmonthly.com/news/new-lng-carrier-delivered-for-qatarenergy/",China,https://www.shipyards.gr/shipyards/new-buildings-shipyards/newbuilding-farest-pacific-ocean/newbuilding-far-east-china-sea/china-south/hudong-zhonghua-shipbuilding-group-coltd,31.271988,121.575478,"7HCG+R4 Pudong, Shanghai, China",exact,"https://www.google.com/maps/place/Hudong-Zhonghua+Shipbuilding/@31.2720706,121.5727207,753m/data=!3m2!1e3!4b1!4m6!3m5!1s0x35b2742eceeb203d:0x37fddc7176d2cc24!8m2!3d31.2720706!4d121.5752956!16s%2Fg%2F1td0qx6d?entry=ttu&g_ep=EgoyMDI1MTIwMi4wIKXMDSoASAFQAw%3D%3D",174000,cbm,"https://www.igu.org/igu-reports/2025-world-lng-report, https://www.mol.co.jp/en/info/article/2024/0911.html, https://www.bairdmaritime.com/shipping/tankers/gas/vessel-review-rex-tillerson-umm-ghuwailina-qatarenergy-expands-lng-carrier-fleet-with-174000cbm-newbuilds, https://www.rivieramm.com/news-content-hub/news-content-hub/qatarenergy-inaugurates-rex-tillerson-and-chooses-esd-partner-for-samsung-newbuildings-82269, https://shipsmonthly.com/news/new-lng-carrier-delivered-for-qatarenergy/",membrane,https://www.igu.org/igu-reports/2025-world-lng-report,conventional,https://www.igu.org/igu-reports/2025-world-lng-report,X-DF,https://www.igu.org/igu-reports/2025-world-lng-report,2024,"https://www.igu.org/igu-reports/2025-world-lng-report, https://www.mol.co.jp/en/info/article/2024/0911.html, https://www.vesselfinder.com/vessels/details/9953248, https://www.rivieramm.com/news-content-hub/news-content-hub/qatarenergy-inaugurates-rex-tillerson-and-chooses-esd-partner-for-samsung-newbuildings-82269, https://shipsmonthly.com/news/new-lng-carrier-delivered-for-qatarenergy/",IGU,QatarEnergy,"https://www.bairdmaritime.com/shipping/tankers/gas/qatarenergy-names-newest-174000cbm-lng-carrier, https://www.bairdmaritime.com/shipping/tankers/gas/vessel-review-rex-tillerson-umm-ghuwailina-qatarenergy-expands-lng-carrier-fleet-with-174000cbm-newbuilds",,,,,,,
18,9953250,https://www.igu.org/igu-reports/2025-world-lng-report,Umm Ghuwailina,"https://www.igu.org/igu-reports/2025-world-lng-report, https://www.mol.co.jp/en/info/article/2024/0911.html, https://www.vesselfinder.com/vessels/details/9953250, https://www.bairdmaritime.com/shipping/tankers/gas/vessel-review-rex-tillerson-umm-ghuwailina-qatarenergy-expands-lng-carrier-fleet-with-174000cbm-newbuilds, https://shipsmonthly.com/news/new-lng-carrier-delivered-for-qatarenergy/",,,,Hull 1791A,https://www.igu.org/igu-reports/2025-world-lng-report,active,GEM,12/31/2024,https://www.igu.org/igu-reports/2025-world-lng-report,MOL,"https://www.igu.org/igu-reports/2025-world-lng-report, https://www.mol.co.jp/en/info/article/2024/0911.html, https://shipsmonthly.com/news/new-lng-carrier-delivered-for-qatarenergy/",Japan,https://www.mol.co.jp/en/,Hudong-Zhonghua Shipbuilding,"https://www.igu.org/igu-reports/2025-world-lng-report, https://www.mol.co.jp/en/info/article/2024/0911.html, https://www.bairdmaritime.com/shipping/tankers/gas/vessel-review-rex-tillerson-umm-ghuwailina-qatarenergy-expands-lng-carrier-fleet-with-174000cbm-newbuilds, https://shipsmonthly.com/news/new-lng-carrier-delivered-for-qatarenergy/",China,https://www.shipyards.gr/shipyards/new-buildings-shipyards/newbuilding-farest-pacific-ocean/newbuilding-far-east-china-sea/china-south/hudong-zhonghua-shipbuilding-group-coltd,31.271988,121.575478,"7HCG+R4 Pudong, Shanghai, China",exact,"https://www.google.com/maps/place/Hudong-Zhonghua+Shipbuilding/@31.2720706,121.5727207,753m/data=!3m2!1e3!4b1!4m6!3m5!1s0x35b2742eceeb203d:0x37fddc7176d2cc24!8m2!3d31.2720706!4d121.5752956!16s%2Fg%2F1td0qx6d?entry=ttu&g_ep=EgoyMDI1MTIwMi4wIKXMDSoASAFQAw%3D%3D",174000,cbm,"https://www.igu.org/igu-reports/2025-world-lng-report, https://www.mol.co.jp/en/info/article/2024/0911.html, https://www.bairdmaritime.com/shipping/tankers/gas/vessel-review-rex-tillerson-umm-ghuwailina-qatarenergy-expands-lng-carrier-fleet-with-174000cbm-newbuilds, https://shipsmonthly.com/news/new-lng-carrier-delivered-for-qatarenergy/",membrane,https://www.igu.org/igu-reports/2025-world-lng-report,conventional,https://www.igu.org/igu-reports/2025-world-lng-report,X-DF,https://www.igu.org/igu-reports/2025-world-lng-report,2024,"https://www.igu.org/igu-reports/2025-world-lng-report, https://www.mol.co.jp/en/info/article/2024/0911.html, https://www.vesselfinder.com/vessels/details/9953250, https://www.bairdmaritime.com/shipping/tankers/gas/vessel-review-rex-tillerson-umm-ghuwailina-qatarenergy-expands-lng-carrier-fleet-with-174000cbm-newbuilds, https://shipsmonthly.com/news/new-lng-carrier-delivered-for-qatarenergy/",IGU,QatarEnergy,"https://www.bairdmaritime.com/shipping/tankers/gas/qatarenergy-names-newest-174000cbm-lng-carrier, https://www.bairdmaritime.com/shipping/tankers/gas/vessel-review-rex-tillerson-umm-ghuwailina-qatarenergy-expands-lng-carrier-fleet-with-174000cbm-newbuilds",,,,,,,
19,9953262,https://www.igu.org/igu-reports/2025-world-lng-report,Hlaitan,"https://www.igu.org/igu-reports/2025-world-lng-report, https://lngprime.com/asia/hudong-zhonghua-delivers-new-qatarenergy-lng-carrier/138020/, https://shippingtelegraph.com/freight-news/mol-charters-newbuild-lng-carrier-to-qatarenergy-trading/, https://www.vesselfinder.com/vessels/details/9953262, https://www.bairdmaritime.com/shipping/gas/qatarenergy-welcomes-new-lng-carrier-to-fleet",,,,Hull 1792A,https://www.igu.org/igu-reports/2025-world-lng-report,active,GEM,12/31/2024,https://www.igu.org/igu-reports/2025-world-lng-report,MOL,"https://www.igu.org/igu-reports/2025-world-lng-report, https://lngprime.com/asia/hudong-zhonghua-delivers-new-qatarenergy-lng-carrier/138020/, https://shippingtelegraph.com/freight-news/mol-charters-newbuild-lng-carrier-to-qatarenergy-trading/",Japan,https://www.mol.co.jp/en/,Hudong-Zhonghua Shipbuilding,"https://www.igu.org/igu-reports/2025-world-lng-report, https://lngprime.com/asia/hudong-zhonghua-delivers-new-qatarenergy-lng-carrier/138020/, https://shippingtelegraph.com/freight-news/mol-charters-newbuild-lng-carrier-to-qatarenergy-trading/, https://www.bairdmaritime.com/shipping/gas/qatarenergy-welcomes-new-lng-carrier-to-fleet",China,https://www.shipyards.gr/shipyards/new-buildings-shipyards/newbuilding-farest-pacific-ocean/newbuilding-far-east-china-sea/china-south/hudong-zhonghua-shipbuilding-group-coltd,31.271988,121.575478,"7HCG+R4 Pudong, Shanghai, China",exact,"https://www.google.com/maps/place/Hudong-Zhonghua+Shipbuilding/@31.2720706,121.5727207,753m/data=!3m2!1e3!4b1!4m6!3m5!1s0x35b2742eceeb203d:0x37fddc7176d2cc24!8m2!3d31.2720706!4d121.5752956!16s%2Fg%2F1td0qx6d?entry=ttu&g_ep=EgoyMDI1MTIwMi4wIKXMDSoASAFQAw%3D%3D",174000,cbm,"https://www.igu.org/igu-reports/2025-world-lng-report, https://lngprime.com/asia/hudong-zhonghua-delivers-new-qatarenergy-lng-carrier/138020/, https://www.bairdmaritime.com/shipping/gas/qatarenergy-welcomes-new-lng-carrier-to-fleet",membrane,https://www.igu.org/igu-reports/2025-world-lng-report,conventional,https://www.igu.org/igu-reports/2025-world-lng-report,X-DF,https://www.igu.org/igu-reports/2025-world-lng-report,2024,"https://www.igu.org/igu-reports/2025-world-lng-report, https://lngprime.com/asia/hudong-zhonghua-delivers-new-qatarenergy-lng-carrier/138020/, https://shippingtelegraph.com/freight-news/mol-charters-newbuild-lng-carrier-to-qatarenergy-trading/, https://www.vesselfinder.com/vessels/details/9953262, https://www.bairdmaritime.com/shipping/gas/qatarenergy-welcomes-new-lng-carrier-to-fleet",IGU,QatarEnergy,"https://www.bairdmaritime.com/shipping/tankers/gas/qatarenergy-names-newest-174000cbm-lng-carrier, https://www.bairdmaritime.com/shipping/tankers/gas/qatarenergy-names-newest-174000cbm-lng-carrier",,,,,,,
20,9958652,https://www.igu.org/igu-reports/2025-world-lng-report,Huashan,"https://www.igu.org/igu-reports/2025-world-lng-report, https://lngprime.com/asia/hudong-zhonghua-delivers-coscos-lng-carrier/113639/, https://www.vesselfinder.com/vessels/details/9958652, https://www.bairdmaritime.com/shipping/tankers/gas/vessel-review-huashan-large-lng-carrier-for-petrochinas-gas-transportation-activities, https://www.rivieramm.com/news-content-hub/news-content-hub/chinas-hudong-zhonghua-shipyard-hits-record-lng-carrier-deliveries-86921",,,,Hull 1835A,https://www.igu.org/igu-reports/2025-world-lng-report,active,GEM,12/31/2024,https://www.igu.org/igu-reports/2025-world-lng-report,United Liquefied Gas,https://www.igu.org/igu-reports/2025-world-lng-report,Hong Kong,"https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0630/2020063001526.pdf, https://www.dnb.com/business-directory/company-profiles.united_liquefied_gas_shipping_(hong_kong)_co_limited.3a59504491a60237f6ee20cb8547ee65.html",Hudong-Zhonghua Shipbuilding,"https://www.igu.org/igu-reports/2025-world-lng-report, https://lngprime.com/asia/hudong-zhonghua-delivers-coscos-lng-carrier/113639/, https://www.bairdmaritime.com/shipping/tankers/gas/vessel-review-huashan-large-lng-carrier-for-petrochinas-gas-transportation-activities, https://www.rivieramm.com/news-content-hub/news-content-hub/chinas-hudong-zhonghua-shipyard-hits-record-lng-carrier-deliveries-86921",China,https://www.shipyards.gr/shipyards/new-buildings-shipyards/newbuilding-farest-pacific-ocean/newbuilding-far-east-china-sea/china-south/hudong-zhonghua-shipbuilding-group-coltd,31.271988,121.575478,"7HCG+R4 Pudong, Shanghai, China",exact,"https://www.google.com/maps/place/Hudong-Zhonghua+Shipbuilding/@31.2720706,121.5727207,753m/data=!3m2!1e3!4b1!4m6!3m5!1s0x35b2742eceeb203d:0x37fddc7176d2cc24!8m2!3d31.2720706!4d121.5752956!16s%2Fg%2F1td0qx6d?entry=ttu&g_ep=EgoyMDI1MTIwMi4wIKXMDSoASAFQAw%3D%3D",174000,cbm,"https://www.igu.org/igu-reports/2025-world-lng-report, https://lngprime.com/asia/hudong-zhonghua-delivers-coscos-lng-carrier/113639/, https://www.bairdmaritime.com/shipping/tankers/gas/vessel-review-huashan-large-lng-carrier-for-petrochinas-gas-transportation-activities, https://www.rivieramm.com/news-content-hub/news-content-hub/chinas-hudong-zhonghua-shipyard-hits-record-lng-carrier-deliveries-86921",membrane,https://www.igu.org/igu-reports/2025-world-lng-report,conventional,https://www.igu.org/igu-reports/2025-world-lng-report,X-DF,https://www.igu.org/igu-reports/2025-world-lng-report,2024,"https://www.igu.org/igu-reports/2025-world-lng-report, https://lngprime.com/asia/hudong-zhonghua-delivers-coscos-lng-carrier/113639/, https://www.vesselfinder.com/vessels/details/9958652",IGU,PetroChina International,"https://www.bairdmaritime.com/shipping/tankers/gas/vessel-review-huashan-large-lng-carrier-for-petrochinas-gas-transportation-activities, https://lngprime.com/asia/hudong-zhonghua-coscos-lng-carrier-wraps-up-trials-in-record-time/110951/, https://en.energy.coscoshipping.com/col/col21116/art/2024/art_61cd347bc09d4b9e99962d2d291dd4ad.html",,,,,,,
21,9958664,https://www.igu.org/igu-reports/2025-world-lng-report,Kongtong,"https://www.igu.org/igu-reports/2025-world-lng-report, https://lngprime.com/asia/hudong-zhonghua-hands-over-coscos-lng-carrier/127019/, https://www.vesselfinder.com/vessels/details/9958664, https://www.bairdmaritime.com/shipping/gas/vessel-review-kongtong-large-lng-carrier-to-support-petrochinas-global-gas-trade, https://www.rivieramm.com/news-content-hub/news-content-hub/chinas-hudong-zhonghua-shipyard-hits-record-lng-carrier-deliveries-86921",,,,Hull 1836A,https://www.igu.org/igu-reports/2025-world-lng-report,active,GEM,12/31/2024,https://www.igu.org/igu-reports/2025-world-lng-report,United Liquefied Gas,https://www.igu.org/igu-reports/2025-world-lng-report,Hong Kong,"https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0630/2020063001526.pdf, https://www.dnb.com/business-directory/company-profiles.united_liquefied_gas_shipping_(hong_kong)_co_limited.3a59504491a60237f6ee20cb8547ee65.html",Hudong-Zhonghua Shipbuilding,"https://www.igu.org/igu-reports/2025-world-lng-report, https://lngprime.com/asia/hudong-zhonghua-hands-over-coscos-lng-carrier/127019/, https://www.bairdmaritime.com/shipping/gas/vessel-review-kongtong-large-lng-carrier-to-support-petrochinas-global-gas-trade, https://www.rivieramm.com/news-content-hub/news-content-hub/chinas-hudong-zhonghua-shipyard-hits-record-lng-carrier-deliveries-86921",China,https://www.shipyards.gr/shipyards/new-buildings-shipyards/newbuilding-farest-pacific-ocean/newbuilding-far-east-china-sea/china-south/hudong-zhonghua-shipbuilding-group-coltd,31.271988,121.575478,"7HCG+R4 Pudong, Shanghai, China",exact,"https://www.google.com/maps/place/Hudong-Zhonghua+Shipbuilding/@31.2720706,121.5727207,753m/data=!3m2!1e3!4b1!4m6!3m5!1s0x35b2742eceeb203d:0x37fddc7176d2cc24!8m2!3d31.2720706!4d121.5752956!16s%2Fg%2F1td0qx6d?entry=ttu&g_ep=EgoyMDI1MTIwMi4wIKXMDSoASAFQAw%3D%3D",174000,cbm,"https://www.igu.org/igu-reports/2025-world-lng-report, https://lngprime.com/asia/hudong-zhonghua-hands-over-coscos-lng-carrier/127019/, https://www.bairdmaritime.com/shipping/gas/vessel-review-kongtong-large-lng-carrier-to-support-petrochinas-global-gas-trade, https://www.rivieramm.com/news-content-hub/news-content-hub/chinas-hudong-zhonghua-shipyard-hits-record-lng-carrier-deliveries-86921",membrane,https://www.igu.org/igu-reports/2025-world-lng-report,conventional,https://www.igu.org/igu-reports/2025-world-lng-report,X-DF,https://www.igu.org/igu-reports/2025-world-lng-report,2024,"https://www.igu.org/igu-reports/2025-world-lng-report, https://lngprime.com/asia/hudong-zhonghua-hands-over-coscos-lng-carrier/127019/, https://www.vesselfinder.com/vessels/details/9958664",IGU,,,,,,,,,
22,9961477,https://www.igu.org/igu-reports/2025-world-lng-report,Greenergy Ocean,"https://www.igu.org/igu-reports/2025-world-lng-report, https://www.mol.co.jp/en/info/article/2024/0515.html, https://www.bairdmaritime.com/shipping/gas/vessel-review-greenergy-ocean-greenergy-pearl-gas-carrier-pair-to-support-chinas-global-lng-trade, https://www.hellenicshippingnews.com/mol-holds-naming-ceremony-for-newbuilding-lng-carrier-greenergy-ocean-to-serve-china-national-offshore-oil-corporation-first-in-series-of-6-newbuilding-lng-carriers/, https://www.vesselfinder.com/vessels/details/9961477",,,,Hull 1880A,https://www.igu.org/igu-reports/2025-world-lng-report,active,GEM,12/31/2024,https://www.igu.org/igu-reports/2025-world-lng-report,MOL,"https://www.igu.org/igu-reports/2025-world-lng-report, https://www.mol.co.jp/en/info/article/2024/0515.html, https://www.bairdmaritime.com/shipping/gas/vessel-review-greenergy-ocean-greenergy-pearl-gas-carrier-pair-to-support-chinas-global-lng-trade, https://www.hellenicshippingnews.com/mol-holds-naming-ceremony-for-newbuilding-lng-carrier-greenergy-ocean-to-serve-china-national-offshore-oil-corporation-first-in-series-of-6-newbuilding-lng-carriers/",Japan,"https://www.mol.co.jp/en/corporate/profile/, https://en.wikipedia.org/wiki/Mitsui_O.S.K._Lines",Hudong-Zhonghua Shipbuilding,"https://www.igu.org/igu-reports/2025-world-lng-report, https://www.mol.co.jp/en/info/article/2024/0515.html, https://www.bairdmaritime.com/shipping/gas/vessel-review-greenergy-ocean-greenergy-pearl-gas-carrier-pair-to-support-chinas-global-lng-trade, https://www.hellenicshippingnews.com/mol-holds-naming-ceremony-for-newbuilding-lng-carrier-greenergy-ocean-to-serve-china-national-offshore-oil-corporation-first-in-series-of-6-newbuilding-lng-carriers/",China,https://www.shipyards.gr/shipyards/new-buildings-shipyards/newbuilding-farest-pacific-ocean/newbuilding-far-east-china-sea/china-south/hudong-zhonghua-shipbuilding-group-coltd,31.271988,121.575478,"7HCG+R4 Pudong, Shanghai, China",exact,"https://www.google.com/maps/place/Hudong-Zhonghua+Shipbuilding/@31.2720706,121.5727207,753m/data=!3m2!1e3!4b1!4m6!3m5!1s0x35b2742eceeb203d:0x37fddc7176d2cc24!8m2!3d31.2720706!4d121.5752956!16s%2Fg%2F1td0qx6d?entry=ttu&g_ep=EgoyMDI1MTIwMi4wIKXMDSoASAFQAw%3D%3D",174000,cbm,"https://www.igu.org/igu-reports/2025-world-lng-report, https://www.mol.co.jp/en/info/article/2024/0515.html, https://www.bairdmaritime.com/shipping/gas/vessel-review-greenergy-ocean-greenergy-pearl-gas-carrier-pair-to-support-chinas-global-lng-trade, https://www.hellenicshippingnews.com/mol-holds-naming-ceremony-for-newbuilding-lng-carrier-greenergy-ocean-to-serve-china-national-offshore-oil-corporation-first-in-series-of-6-newbuilding-lng-carriers/",membrane,https://www.igu.org/igu-reports/2025-world-lng-report,conventional,https://www.igu.org/igu-reports/2025-world-lng-report,X-DF,https://www.igu.org/igu-reports/2025-world-lng-report,2024,"https://www.igu.org/igu-reports/2025-world-lng-report, https://www.mol.co.jp/en/info/article/2024/0515.html, https://www.bairdmaritime.com/shipping/gas/vessel-review-greenergy-ocean-greenergy-pearl-gas-carrier-pair-to-support-chinas-global-lng-trade, https://www.hellenicshippingnews.com/mol-holds-naming-ceremony-for-newbuilding-lng-carrier-greenergy-ocean-to-serve-china-national-offshore-oil-corporation-first-in-series-of-6-newbuilding-lng-carriers/, https://www.vesselfinder.com/vessels/details/9961477",IGU,,,,,,,,,
