status,sheet_row,row_id,column,accepted_value,backend_value
MISMATCH,1080,509,Other names,Dalian No 1 G175K-12; Youyi Yongshi,Dalian No 1 G175K-12
MISMATCH,1080,509,Other names [ref],"https://www.datocms-assets.com/146580/1763396210-1747916410-igu-world-lng-report-2025.pdf, https://www.datocms-assets.com/146580/1783403747-igu-world-lng-report-2026.pdf, https://www.vesselfinder.com/vessels/details/1030557","https://www.datocms-assets.com/146580/1763396210-1747916410-igu-world-lng-report-2025.pdf, https://www.datocms-assets.com/146580/1783403747-igu-world-lng-report-2026.pdf"
